0.0086	0.873346	0.348339
0.0087	0.60973	0.348359
0.0088	0.340375	0.348379
0.0089	0.0679447	0.348398
0.009	0.204867	0.348418
0.0091	0.475366	0.348438
0.0092	0.740885	0.348458
0.0093	0.998809	0.348477
0.0094	1.2466	0.348497
0.0095	1.48182	0.348517
0.0096	1.70216	0.348537
0.0097	1.90546	0.348556
0.0098	2.08973	0.348576
0.0099	2.25318	0.348596
0.01	2.39421	0.348616
0.0101	2.51145	0.348635
0.0102	2.60378	0.348655
0.0103	2.6703	0.348675
0.0104	2.71038	0.348694
0.0105	2.72366	0.348714
0.0106	2.71003	0.348734
0.0107	2.66967	0.348754
0.0108	2.60298	0.348773
0.0109	2.51067	0.348793
0.011	2.39366	0.348813
0.0111	2.25314	0.348832
0.0112	2.09052	0.348852
0.0113	1.90743	0.348872
0.0114	1.70569	0.348892
0.0115	1.48733	0.348911
0.0116	1.2545	0.348931
0.0117	1.00953	0.348951
0.0118	0.754852	0.348971
0.0119	0.492982	0.34899
0.012	0.226515	0.34901
0.0121	0.0419122	0.34903
0.0122	0.309647	0.349049
0.0123	0.574048	0.349069
0.0124	0.832507	0.349089
0.0125	1.08248	0.349109
0.0126	1.3215	0.349128
0.0127	1.54723	0.349148
0.0128	1.75745	0.349168
0.0129	1.9501	0.349187
0.013	2.1233	0.349207
0.0131	2.27535	0.349227
0.0132	2.40478	0.349247
0.0133	2.51033	0.349266
0.0134	2.59098	0.349286
0.0135	2.64597	0.349306
0.0136	2.67477	0.349325
0.0137	2.67713	0.349345
0.0138	2.65306	0.349365
0.0139	2.60281	0.349385
0.014	2.52691	0.349404
0.0141	2.42614	0.349424
0.0142	2.30151	0.349444
0.0143	2.15428	0.349463
0.0144	1.98593	0.349483
0.0145	1.79814	0.349503
0.0146	1.59278	0.349522
0.0147	1.37191	0.349542
0.0148	1.13771	0.349562
0.0149	0.892517	0.349582
0.015	0.638758	0.349601
0.0151	0.378947	0.349621
0.0152	0.115658	0.349641
0.0153	0.148508	0.34966
0.0154	0.41094	0.34968
0.0155	0.669049	0.3497
0.0156	0.92029	0.34972
0.0157	1.16219	0.349739
0.0158	1.39237	0.349759
0.0159	1.60857	0.349779
